model_name,battery_kWh,motor_power_kW,range_km,energy_per_km,efficiency_km_per_kWh,power_ratio,driving_style,style_multiplier,initial_soc,trip_distance_km,energy_consumed_kWh,final_soc
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Highway,1.1,56.72637175,15.4433372,1.386748646,50.94825239
BE6 – High Range (683 km),79,210,683,0.116,8.64,2.66,Eco,0.85,41.12836235,27.12616999,2.668662557,37.75030848
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,Aggressive,1.25,22.75715807,33.93679674,3.916989466,9.700526513
Windsor EV – Medium Range (331 km),38,100,331,0.115,8.71,2.63,Aggressive,1.25,77.71930621,7.720095693,1.107935662,74.80368605
Tiago EV – Medium Range (223 km),19.2,45,223,0.086,11.61,2.34,Aggressive,1.25,72.43328341,24.50999487,2.638888337,58.68907332
Tiago EV – High Range (294 km),24,55,294,0.082,12.25,2.29,Aggressive,1.25,52.04096553,2.939880394,0.299987795,50.79101639
Carens EV – Standard Range (404 km),42,99,404,0.104,9.62,2.36,Highway,1.1,95.24688919,14.73151884,1.684477206,91.23622918
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,Aggressive,1.25,66.18857893,31.64462294,4.737219003,60.19209918
Citroen eC3 – Standard Range (320 km),29.2,57,320,0.091,10.96,1.95,Aggressive,1.25,24.18871323,17.65192732,2.013221637,17.29411858
Curvv EV – Medium Range (430 km),45,110,430,0.105,9.55,2.44,Highway,1.1,27.72075784,13.25431332,1.526674833,24.3281471
Punch EV – Standard Range (315 km),25,60,315,0.079,12.6,2.4,City,1,21.28149139,19.33238064,1.534315924,15.1442277
Creta Electric – Standard Range (420 km),42,99,420,0.1,10,2.36,City,1,19.41035376,35.44106854,3.544106854,10.97200411
Harrier EV – Medium Range (538 km),65,160,538,0.121,8.28,2.46,Eco,0.85,97.35986224,19.75090364,2.02756861,94.24052592
Nexon EV – Medium Range (325 km),30,95,325,0.092,10.83,3.17,City,1,84.39464164,38.41338796,3.546942563,72.57149976
XEV 9e – High Range (659 km),79,210,659,0.12,8.35,2.66,City,1,89.6754583,28.29593007,3.38873414,85.38592141
